Date,Open,High,Low,Close,Volume
2024-01-01,150.5,152.3,149.8,151.2,1000000
2024-01-02,151.0,153.5,150.5,152.8,1200000
2024-01-03,152.5,154.0,151.8,153.5,1100000
2024-01-04,153.2,155.5,152.9,154.8,1300000
2024-01-05,154.5,156.2,153.8,155.5,1250000
2024-01-08,155.0,157.0,154.5,156.3,1400000
2024-01-09,156.2,158.5,155.8,157.9,1350000
2024-01-10,157.5,159.2,156.9,158.5,1450000
2024-01-11,158.2,160.0,157.5,159.2,1500000
2024-01-12,159.0,161.5,158.5,160.8,1550000
2024-01-15,160.5,162.3,159.8,161.5,1600000
2024-01-16,161.2,163.0,160.5,162.3,1650000
2024-01-17,162.0,164.5,161.5,163.8,1700000
2024-01-18,163.5,165.2,162.8,164.5,1750000
2024-01-19,164.2,166.0,163.5,165.3,1800000
2024-01-22,165.0,167.5,164.5,166.8,1850000
2024-01-23,166.5,168.2,165.8,167.5,1900000
2024-01-24,167.2,169.0,166.5,168.3,1950000
2024-01-25,168.0,170.5,167.5,169.8,2000000
2024-01-26,169.5,171.2,168.8,170.5,2050000
