Provider_ID,Claim_Amount,Number_of_Claims,Avg_Patient_Age,Procedure_Code,Diagnosis_Code,Fraud_Flag
P004,13263.7,13,34,PROC1,D004,0
P005,10052.51,18,70,PROC4,D004,0
P003,11704.88,1,55,PROC1,D003,0
P005,9224.33,16,57,PROC2,D004,0
P005,10810.42,13,31,PROC2,D004,1
P002,9674.64,10,79,PROC1,D003,0
P003,10242.49,12,35,PROC2,D004,0
P003,11487.89,2,38,PROC1,D003,0
P003,7954.45,3,62,PROC1,D001,1
P005,15230.97,10,70,PROC1,D002,0
P004,7484.96,2,54,PROC4,D002,0
P003,6964.53,13,77,PROC1,D004,1
P005,12895.28,13,42,PROC4,D004,0
P002,11979.16,18,38,PROC1,D004,0
P004,11560.3,3,42,PROC1,D002,0
P002,11570.86,7,60,PROC1,D001,1
P004,9969.38,14,70,PROC2,D001,0
P005,7756.86,17,40,PROC4,D002,0
P001,10189.51,12,33,PROC4,D001,0
P004,8307.1,16,63,PROC1,D002,0
P002,12437.8,12,67,PROC1,D001,0
P005,9632.36,15,75,PROC2,D003,0
P004,7936.26,10,33,PROC2,D003,0
P001,9196.54,7,67,PROC2,D002,0
P001,11032.33,5,48,PROC4,D001,0
P003,8590.69,1,35,PROC4,D004,0
P003,7944.45,17,63,PROC4,D001,1
P002,10609.22,3,47,PROC1,D003,0
P004,10612.42,13,42,PROC4,D003,0
P004,8732.64,14,70,PROC3,D001,0
P003,8822.4,18,52,PROC3,D001,0
P004,10580.12,4,48,PROC2,D004,0
P004,6379.79,18,74,PROC4,D004,0
P001,6481.34,5,40,PROC3,D001,0
P003,8203.89,16,30,PROC2,D001,0
P005,9466.38,1,53,PROC4,D001,0
P003,10777.27,14,36,PROC1,D001,0
P005,13688.39,15,54,PROC3,D002,0
P001,12144.15,9,50,PROC1,D001,0
P002,9600.15,15,44,PROC4,D004,0
P004,9952.46,17,30,PROC3,D003,0
P001,7493.68,4,41,PROC4,D002,1
P004,9953.72,12,36,PROC1,D001,0
P002,9278.35,5,44,PROC3,D003,0
P002,10806.8,5,50,PROC1,D002,0
P001,7931.92,11,48,PROC4,D003,0
P002,11298.37,6,58,PROC4,D001,0
P005,13831.85,7,54,PROC1,D001,1
P002,9728.1,14,62,PROC3,D004,0
P004,11004.28,11,78,PROC1,D001,0
P004,11725.36,13,61,PROC4,D001,0
P004,8996.95,2,78,PROC1,D002,1
P004,10560.23,7,64,PROC4,D004,0
P005,10031.48,4,73,PROC1,D002,0
P003,10244.19,8,67,PROC3,D003,0
P001,8067.48,19,55,PROC3,D001,0
P004,10061.28,13,40,PROC1,D003,0
P002,11245.0,14,64,PROC1,D002,1
P004,13627.86,10,37,PROC3,D001,0
P002,12398.18,11,75,PROC4,D001,1
P002,15382.96,2,43,PROC3,D002,0
P004,8081.63,9,39,PROC4,D002,0
P005,12180.8,17,31,PROC1,D002,0
P002,10458.36,3,75,PROC1,D002,0
P002,15474.51,6,38,PROC4,D002,1
P004,7979.25,5,32,PROC1,D001,0
P002,7900.7,5,50,PROC4,D002,0
P002,8501.52,15,55,PROC2,D001,0
P004,4690.26,17,37,PROC3,D001,0
P004,8685.61,9,77,PROC2,D002,0
P001,8102.17,3,31,PROC4,D002,0
P005,10375.98,17,35,PROC3,D004,0
P005,10854.39,10,57,PROC4,D001,1
P002,14690.43,3,58,PROC3,D002,0
P005,12376.06,18,55,PROC3,D002,0
P002,8557.74,18,54,PROC3,D002,0
P001,7753.96,17,41,PROC3,D004,0
P004,11229.8,3,34,PROC4,D004,0
P004,6699.42,3,63,PROC3,D003,0
P004,14578.65,6,77,PROC3,D001,1
P005,12948.6,13,66,PROC2,D003,0
P001,8827.06,15,44,PROC1,D002,0
P005,5717.16,9,73,PROC1,D004,0
P005,13384.68,4,65,PROC2,D004,0
P001,9713.65,14,44,PROC2,D003,0
P001,13094.54,5,72,PROC4,D004,0
P001,6013.93,2,77,PROC4,D002,0
P001,8501.56,11,52,PROC4,D004,0
P004,10013.11,9,35,PROC2,D003,0
P003,10117.45,3,75,PROC2,D002,0
P003,8874.84,9,79,PROC3,D003,1
P001,11557.12,3,73,PROC4,D004,0
P003,7330.95,2,72,PROC4,D003,0
P003,9644.05,12,74,PROC4,D003,0
P001,10300.74,10,50,PROC1,D001,0
P003,11286.1,9,52,PROC3,D004,0
P005,11779.04,15,72,PROC4,D004,0
P002,7188.39,8,45,PROC4,D003,1
P002,6164.71,5,76,PROC4,D001,0
P001,13194.19,11,44,PROC1,D004,0
P004,10830.79,2,54,PROC1,D002,0
P001,8128.78,15,65,PROC2,D003,0
P004,13877.88,6,40,PROC3,D004,0
P002,10289.19,8,44,PROC2,D002,0
P001,12948.24,5,33,PROC3,D004,1
P005,10168.8,16,50,PROC1,D002,0
P003,15151.87,18,42,PROC4,D003,0
P004,14388.35,6,51,PROC2,D004,0
P003,9377.59,5,48,PROC4,D004,1
P003,12428.93,16,63,PROC2,D001,0
P001,11613.44,13,43,PROC1,D003,0
P003,13421.58,5,33,PROC1,D002,0
P005,7587.69,13,77,PROC1,D004,0
P003,11715.13,17,75,PROC2,D004,0
P001,12646.06,18,56,PROC3,D002,0
P005,5603.15,8,58,PROC2,D003,0
P002,7041.85,13,76,PROC3,D001,1
P003,4901.92,19,57,PROC2,D001,0
P001,9326.48,3,64,PROC2,D004,0
P002,11793.86,8,37,PROC1,D002,0
P002,13755.89,2,45,PROC4,D004,0
P004,10185.24,8,71,PROC4,D002,0
P005,14071.54,13,65,PROC3,D001,0
P003,6549.75,13,59,PROC4,D003,0
P001,5741.54,1,47,PROC2,D002,0
P004,9861.13,6,31,PROC2,D001,0
P005,10960.16,19,78,PROC1,D004,0
P004,9918.26,16,42,PROC1,D002,1
P005,4831.39,8,33,PROC4,D003,0
P005,9777.2,1,55,PROC3,D004,0
P003,6738.83,16,54,PROC4,D004,0
P005,11674.18,9,59,PROC4,D001,0
P004,10916.5,13,40,PROC4,D002,0
P005,7650.3,11,36,PROC4,D004,0
P003,8715.33,13,60,PROC2,D003,0
P003,7351.97,10,73,PROC3,D002,0
P004,9843.3,4,39,PROC2,D003,0
P002,12387.86,6,68,PROC3,D004,0
P002,7535.68,7,42,PROC1,D003,0
P005,11260.12,5,60,PROC4,D001,0
P001,8674.36,11,36,PROC2,D003,0
P005,8017.82,13,78,PROC3,D002,0
P004,9732.42,19,71,PROC1,D003,0
P004,7411.89,10,71,PROC1,D003,1
P004,8615.88,10,65,PROC4,D001,0
P004,7005.31,11,49,PROC3,D003,1
P004,14911.81,7,33,PROC2,D003,0
P003,10088.16,18,36,PROC4,D004,0
P002,8250.69,4,30,PROC2,D004,0
P004,10534.95,2,73,PROC1,D002,0
P001,9719.18,14,74,PROC2,D004,1
P001,9447.58,13,71,PROC2,D004,0
P001,11535.42,12,76,PROC4,D004,0
P001,11893.77,7,42,PROC2,D004,0
P003,8673.75,2,51,PROC4,D001,0
P001,8560.45,13,50,PROC1,D004,0
P004,9312.37,14,51,PROC4,D001,0
P005,4245.2,17,57,PROC4,D001,0
P001,6212.02,9,38,PROC3,D004,0
P003,13417.19,17,55,PROC2,D003,0
P003,14112.42,8,38,PROC1,D001,0
P001,9377.41,2,44,PROC4,D003,0
P005,11441.39,13,39,PROC1,D003,1
