symptoms,disease
"runny nose,muscle pain,body ache",Malaria
"runny nose,shortness of breath,vomiting",COVID-19
"shortness of breath,body ache,muscle pain",COVID-19
"vomiting,muscle pain,shortness of breath",Malaria
"chills,weakness,nausea",Malaria
"vomiting,cough,sore throat",Malaria
"chills,fever,headache",Flu
"body ache,weakness,shortness of breath",Malaria
"runny nose,chills,vomiting",Malaria
"fever,muscle pain,runny nose",Flu
"vomiting,chills,fever",Flu
"headache,sore throat,vomiting",Malaria
"chills,cough,fever",Flu
"body ache,weakness,vomiting",Malaria
"vomiting,body ache,headache",Malaria
"body ache,cough,shortness of breath",COVID-19
"chills,weakness,shortness of breath",COVID-19
"chills,weakness,body ache",Malaria
"fever,shortness of breath,weakness",COVID-19
"headache,weakness,cough",Malaria
"fever,shortness of breath,weakness",COVID-19
"fever,muscle pain,runny nose",Flu
"headache,fever,runny nose",Flu
"vomiting,weakness,chills",Malaria
"weakness,fever,muscle pain",Flu
"body ache,sore throat,fever",Malaria
"shortness of breath,runny nose,vomiting",COVID-19
"runny nose,vomiting,chills",Malaria
"sore throat,body ache,fever",Malaria
"shortness of breath,vomiting,chills",COVID-19
"muscle pain,body ache,headache",Flu
"nausea,weakness,chills",Malaria
"fever,headache,sore throat",Flu
"sore throat,fever,shortness of breath",COVID-19
"chills,body ache,nausea",Malaria
"runny nose,fever,vomiting",Malaria
"body ache,fever,runny nose",Malaria
"shortness of breath,headache,weakness",COVID-19
"cough,weakness,body ache",Malaria
"nausea,vomiting,chills",Malaria
"cough,chills,muscle pain",Flu
"nausea,chills,shortness of breath",COVID-19
"fever,cough,chills",Flu
"body ache,vomiting,runny nose",Malaria
"weakness,runny nose,cough",Malaria
"shortness of breath,fever,headache",Flu
"body ache,sore throat,cough",Malaria
"shortness of breath,sore throat,fever",COVID-19
"nausea,headache,muscle pain",Flu
"shortness of breath,weakness,chills",COVID-19
"sore throat,chills,weakness",Malaria
"sore throat,nausea,runny nose",Allergy
"runny nose,muscle pain,chills",Flu
"chills,nausea,muscle pain",Flu
"weakness,cough,chills",Malaria
"weakness,sore throat,muscle pain",Malaria
"headache,nausea,vomiting",Malaria
"headache,muscle pain,runny nose",Flu
"sore throat,shortness of breath,runny nose",COVID-19
"headache,shortness of breath,vomiting",COVID-19
"headache,shortness of breath,muscle pain",Flu
"runny nose,fever,shortness of breath",COVID-19
"nausea,muscle pain,weakness",Malaria
"sore throat,body ache,headache",Malaria
"muscle pain,vomiting,weakness",Malaria
"headache,body ache,nausea",Malaria
"runny nose,body ache,cough",Malaria
"vomiting,runny nose,chills",Malaria
"sore throat,chills,weakness",Malaria
"sore throat,cough,body ache",Malaria
"fever,nausea,cough",COVID-19
"cough,runny nose,sore throat",COVID-19
"shortness of breath,cough,chills",COVID-19
"muscle pain,headache,chills",Flu
"fever,shortness of breath,body ache",COVID-19
"weakness,chills,runny nose",Allergy
"sore throat,weakness,muscle pain",Malaria
"fever,headache,weakness",Flu
"muscle pain,cough,headache",Flu
"headache,shortness of breath,muscle pain",Flu
"body ache,chills,nausea",Malaria
"vomiting,runny nose,nausea",Malaria
"headache,muscle pain,shortness of breath",Flu
"weakness,shortness of breath,sore throat",COVID-19
"vomiting,fever,nausea",Malaria
"runny nose,cough,chills",COVID-19
"runny nose,sore throat,weakness",Malaria
"chills,vomiting,body ache",Malaria
"body ache,fever,sore throat",Malaria
"weakness,cough,chills",Malaria
"chills,vomiting,fever",Flu
"headache,nausea,cough",COVID-19
"nausea,shortness of breath,weakness",Malaria
"nausea,cough,weakness",Malaria
"weakness,chills,runny nose",Allergy
"body ache,weakness,chills",Malaria
"fever,vomiting,cough",Malaria
"chills,fever,runny nose",Flu
"shortness of breath,cough,body ache",COVID-19
"vomiting,runny nose,headache",Malaria
"vomiting,muscle pain,sore throat",Malaria
"nausea,chills,sore throat",Flu
"vomiting,headache,fever",Flu
"nausea,chills,body ache",Malaria
"headache,chills,shortness of breath",Flu
